rank,title,genre,platforms,release_date,developer,publisher,description
1,Clair Obscur: Expedition 33,RPG,"['PC', 'PlayStation 5', 'Xbox Series X/S']",2025-04-24,Sandfall Interactive,Kepler Interactive,"Clair Obscur: Expedition 33 is a turn-based role-playing game with real-time action elements, set in a dark fantasy world inspired by Belle Époque France. Players join Expedition 33, a group of volunteers sent on a desperate mission to stop the mysterious Paintress, a being who erases people from existence each year by painting a number. The game blends strategic party-based combat with timing-based attacks, dodges, and parries, emphasizing both planning and reflexes. It features a character-driven narrative, exploration, and a richly stylized visual presentation."
2,Silent Hill 2,Survival,"['PlayStation 2', 'Xbox', 'PC']",2001-09-24,Team Silent,Konami,"Silent Hill 2 is a psychological survival horror game following James Sunderland, who receives a letter from his deceased wife and travels to the fog-shrouded town of Silent Hill to find her. As he explores the town, he encounters disturbing monsters, unsettling characters, and surreal environments that reflect his guilt, grief, and inner trauma. Widely regarded as one of the greatest horror games of all time, it is known for its atmospheric storytelling, haunting soundtrack by Akira Yamaoka, and deep psychological themes."
3,The Witcher 3: Wild Hunt - Blood and Wine,RPG,"['PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2016-05-31,CD Projekt Red,CD Projekt,"Blood and Wine is the acclaimed expansion for The Witcher 3: Wild Hunt, sending Geralt of Rivia to the vibrant duchy of Toussaint, a land untouched by war and filled with chivalric courts, vineyards, and dark secrets. The expansion adds a new region to explore, a lengthy main questline, side quests, monsters, armor and weapon sets, and the game-changing Grandmaster gear system. Geralt investigates a series of brutal murders tied to an ancient curse and a mysterious vampire threat, uncovering political intrigue and moral dilemmas along the way. Praised for its rich storytelling, memorable characters, and expansive content, Blood and Wine serves as a grand finale to Geralt’s journey."
4,Metal Gear Solid 3: Snake Eater,Action,"['PlayStation 2', 'PlayStation 3', 'Xbox 360', 'Nintendo 3DS', 'PlayStation Vita', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'PC']",2004-11-17,Konami Computer Entertainment Japan,Konami,"Metal Gear Solid 3: Snake Eater is a stealth-action game set in 1964 during the Cold War. Players control Naked Snake, later known as Big Boss, on a mission deep in the Soviet jungle to rescue a scientist and stop a nuclear threat. The game emphasizes survival mechanics such as camouflage, hunting for food, treating injuries, and managing stamina, alongside the series’ signature stealth gameplay, close-quarters combat, and cinematic storytelling. It is widely regarded as one of the best entries in the Metal Gear series for its emotional narrative, memorable boss battles, and the origin story it provides for several major characters and conflicts in the franchise."
5,Splatoon Raiders,Action,['Nintendo Switch 2'],2026-01-01,Nintendo,Nintendo,"Splatoon Raiders is an announced action-adventure spin-off in Nintendo’s Splatoon series. It follows a new gameplay direction focused on exploration and survival-style objectives rather than the series’ traditional competitive turf war matches. Set on the mysterious Spirhalite Islands, the game puts players in the role of a mechanic who teams up with Deep Cut as they investigate the region and uncover its secrets. Nintendo has described it as a new journey for the franchise, emphasizing offbeat exploration, environmental discovery, and a fresh single-player experience. As of the latest official information, the game has been announced for Nintendo Switch 2, but a final release date has not been confirmed."
6,Disney Cory in the House,Adventure,['Nintendo DS'],2008-01-01,Handheld Games,Disney Interactive Studios,"Disney Cory in the House is a side-scrolling action-adventure game for the Nintendo DS based on the Disney Channel sitcom Cory in the House. Players control Cory Baxter as he navigates the White House and other locations, using gadgets, disguises, and mini-game challenges to help manage chaos around the president’s residence. The game features missions tied to the show’s comedic tone, puzzle-solving, item collection, and light platforming elements. It was developed as a licensed tie-in and released exclusively on the Nintendo DS, aiming at younger audiences who enjoyed the television series."
7,Resident Evil Requiem,Survival,"['PC', 'PlayStation 5', 'Xbox Series X/S']",2026-02-27,Capcom,Capcom,"Resident Evil Requiem is an upcoming survival horror game in Capcom’s long-running Resident Evil series. Announced as a new mainline-style entry, it continues the franchise’s focus on tense exploration, resource management, and combat against bio-engineered horrors. The game follows a new story set in the familiar Resident Evil universe, with a strong emphasis on atmospheric horror, cinematic presentation, and modern survival gameplay. Built for current-generation hardware and PC, it is expected to feature high-end visuals, immersive environments, and a blend of action and dread that the series is known for."
8,The Legend of Zelda: Majora's Mask,Adventure,"['Nintendo 64', 'GameCube', 'Wii Virtual Console', 'Wii U Virtual Console', 'Nintendo 3DS']",2000-04-27,Nintendo EAD,Nintendo,"The Legend of Zelda: Majora's Mask is an action-adventure game set in the dark, surreal world of Termina. As Link, players must stop the moon from crashing into the land within three in-game days by using time travel, powerful masks, and side quests that alter the fate of the inhabitants. Compared with Ocarina of Time, the game emphasizes a looping time mechanic, character routines, and a more psychological tone, making it one of the series' most distinctive entries."
9,Warcraft III: The Frozen Throne,RTS,"['PC', 'Mac OS']",2003-07-01,Blizzard Entertainment,Blizzard Entertainment,"Warcraft III: The Frozen Throne is the official expansion to Warcraft III: Reign of Chaos, expanding Blizzard’s real-time strategy game with new campaigns, heroes, units, items, and neutral buildings. It continues the story of Azeroth through multiple races and factions while adding significant multiplayer balance changes and new strategic options. The expansion includes a series of single-player campaigns that follow key characters such as Illidan Stormrage, Arthas, and the Night Elves, and it greatly deepens the lore of the Warcraft universe. The Frozen Throne is widely praised for its polished RTS gameplay, memorable narrative, and long-lasting impact on competitive gaming and custom map communities, including the rise of Defense of the Ancients (DotA)."
10,Heroes of Might and Magic III,RTS,['PC'],1999-03-03,New World Computing,3DO,"Heroes of Might and Magic III: The Restoration of Erathia is a turn-based strategy game with role-playing elements, set in the fantasy world of Enroth. Players build towns, gather resources, recruit heroes, and lead armies on a grid-based map and tactical combat battlefield. The game is known for its deep faction variety, strong scenario design, and highly replayable campaign and multiplayer modes. It became one of the most celebrated entries in the Heroes of Might and Magic series and a long-standing classic of PC strategy gaming."
11,Silent Hill 2: Restless Dreams,Survival,"['PlayStation 2', 'Xbox', 'PC']",2002-12-24,Konami Computer Entertainment Tokyo,Konami,"Silent Hill 2: Restless Dreams is an expanded version of the survival horror classic Silent Hill 2. It follows James Sunderland, who receives a mysterious letter from his deceased wife and travels to the fog-shrouded town of Silent Hill in search of answers. As James explores the town and its disturbing environments, he encounters unsettling characters, terrifying monsters, and psychological horrors that reflect his guilt and grief. Restless Dreams adds the ""Born from a Wish"" scenario, which focuses on Maria, and includes extra content beyond the original release. The game is known for its atmospheric storytelling, haunting sound design, and emotional narrative, and is widely regarded as one of the most influential survival horror games ever made."
12,Gran Turismo 4,Sports,['PlayStation 2'],2004-12-28,Polyphony Digital,Sony Computer Entertainment,"Gran Turismo 4 is a realistic racing simulation game focused on car collection, tuning, and precision driving. It features hundreds of licensed cars from numerous manufacturers, a wide variety of real and fictional tracks, and multiple modes including GT Mode, Arcade Mode, and Mission Hall challenges. The game emphasizes authentic handling, detailed vehicle progression, and long-term career-style competition, making it one of the most expansive entries in the Gran Turismo series."
13,Metal Gear Solid,Action,"['PlayStation', 'PC', 'PlayStation 3', 'PlayStation Portable', 'PlayStation Vita']",1998-09-03,Konami Computer Entertainment Japan,Konami,"Metal Gear Solid is a stealth action game following special agent Solid Snake as he infiltrates the nuclear weapons facility on Shadow Moses Island to stop FOXHOUND, a rogue special forces unit, from launching a nuclear attack. Blending cinematic storytelling, stealth-based gameplay, boss battles, and codec-driven exposition, it became a landmark title in modern game design. Directed by Hideo Kojima, the game is known for its tense atmosphere, memorable characters, and fourth-wall-breaking moments."
