id,question,original_answer,generated_answer,relevance,reasoning,generation_input_tokens,generation_output_tokens,generation_cost_usd
91,Where can I find the list of compatible devices?,The full list of compatible devices is available on the system requirements page.,The full list of compatible devices is available on the system requirements page.,RELEVANT,The generated answer exactly matches the original answer and directly addresses where to find the list of compatible devices.,465,15,0.0013125
17,Can I still have unlimited playtime on Founders after switching back from Ultimate?,"No. Founders memberships include unlimited playtime for life, provided the membership does not lapse. However, upgrading to an Ultimate plan will subject the account to monthly playtime limits. Unlimited playtime will resume only if the member reverts to the base Founders membership.","Yes, you can have unlimited playtime on Founders after switching back from Ultimate, as long as you revert to the base Founders membership without letting it lapse.",RELEVANT,"The generated answer matches the original answer’s core point: unlimited playtime returns only when reverting to the base Founders membership and not letting it lapse. It is consistent with the original, though slightly concise.",921,34,0.0026425
87,What does the microphone access request in GeForce NOW mean?,"This is Android's way of indicating that the GeForce NOW app wants access to your phone’s microphone. From here, it enables your in-game voice chat. We do not record this audio.",The microphone access request in GeForce NOW on Android indicates that the app wants access to your phone’s microphone to enable in-game voice chat. The audio is not recorded.,RELEVANT,The generated answer matches the original answer closely: it explains that the request is Android indicating GeForce NOW wants microphone access for in-game voice chat and states the audio is not recorded.,800,35,0.00235
95,Are there any compatible gamepads for iPhone and iPad on GeForce NOW?,Please visit our system requirements for a full list of supported gamepads .,I don't know.,NON_RELEVANT,"The generated answer does not answer the question and contradicts the helpful original response, which directs the user to supported gamepads in system requirements.",709,5,0.0018225
86,Do I need a controller to start using GeForce NOW on Android?,"Once you’ve logged in to your GeForce NOW account on your phone, jump into your library of recently played games and continue playing where you left off. A Bluetooth gamepad is strongly recommended, including: the NVIDIA SHIELD controller, Razer Kishi V2, Steelseries Stratus Duo, or Backbone One. Note: Some games may require a connected gamepad controller or wireless keyboard/mouse. Check out these gamepads and more here .","No, you don't need a controller to start using GeForce NOW on Android, but a Bluetooth gamepad is strongly recommended. Some games may require a connected gamepad controller or wireless keyboard/mouse.",RELEVANT,"The generated answer matches the original answer’s main point: a controller is not strictly required to start, but a Bluetooth gamepad is strongly recommended and some games may require one.",774,41,0.002345
63,Can premium GeForce NOW members download and install Steam games with Install-to-Play?,"The new Install-to-Play feature enables premium members to download and install over thousands of Steam games opted-in for Steam Cloud Gaming directly onto GeForce NOW cloud storage hard drives, similar to a local gaming PC experience. More will be added each week. 100GB of single session cloud storage will be included with both Ultimate and Performance memberships. Members who want persistent cloud storage to save all game installs and game saves across sessions (for games that don’t support Steam cloud saves) will have the flexibility to add-on additional cloud storage on top of their memberships. You can sign up for a premium membership here .","Yes, premium GeForce NOW members can download and install Steam games with Install-to-Play.",RELEVANT,"The generated answer correctly answers the question affirmatively and is consistent with the original answer, though it omits the additional details about storage and membership benefits.",973,20,0.0026325
7,I'm having trouble streaming a game in GeForce NOW. Where can I get help?,You can work with a Customer Care agent here . Our product and support teams are ready to assist when they can. You can alert us to your issue by pressing the exclamation icon in-app.,You can work with a Customer Care agent [here](https://www.nvidia.com/en-us/geforce-now/support/). You can also alert us to your issue by pressing the exclamation icon in-app.,RELEVANT,The generated answer matches the original guidance: contact Customer Care via the support link and use the in-app exclamation icon to report the issue. It is consistent and answers the question.,818,43,0.002475
45,What does the Founders for Life benefit mean for GeForce NOW members?,"The “Founders for Life” benefit provides GeForce NOW users who started a paid Founders membership on or before March 17, 2021 the opportunity to continue to use their Founders membership at its introductory price and plan features without a set end date, so long as NVIDIA offers the GeForce NOW service in your country. Founders members can upgrade to the new GeForce NOW Ultimate membership and keep their ‘Founders for Life’ discount. Upgrading to an Ultimate plan will subject the account to monthly playtime limits. Unlimited playtime will resume only if the member reverts to the base Founders membership.","The “Founders for Life” benefit allows GeForce NOW users who started a paid Founders membership on or before March 17, 2021, to continue using their membership at its introductory price and plan features indefinitely, as long as NVIDIA offers the service in their country. This benefit is retained when upgrading to the GeForce NOW Ultimate membership, with a discount. However, upgrading brings playtime limits, and unlimited playtime resumes if reverting to the Founders plan. The benefit is forfeited if the membership is ended or downgraded to Free.",PARTLY_RELEVANT,"The generated answer is mostly consistent with the original and correctly explains the Founders for Life discount and upgrade path, but it adds an unsupported claim that the benefit is forfeited if ended or downgraded to Free.",925,113,0.0034425
97,Is there an App Store version of GeForce NOW for iPad or iPhone?,No. At this time please enjoy GeForce NOW on iPhone and iPad by launching Safari and visiting https://play.geforcenow.com . Follow the instruction prompt to set up GeForce NOW to play: 1. Tap the ‘Share’ button on the tool bar. 2. Select ‘Add to Home Screen’ from the menu. 3. Launch GeForce NOW from your home screen.,"No. At this time, please enjoy GeForce NOW on iPhone and iPad by launching Safari and visiting https://play.geforcenow.com.",PARTLY_RELEVANT,"The generated answer correctly says there is no App Store version and points users to Safari and the GeForce NOW website, matching the original answer’s main point. However, it omits the setup instructions for adding it to the Home Screen, so it is incomplete.",813,32,0.0023525
47,Will I lose Founders for Life if I cancel my Founders account?,"To keep the “Founders for Life” benefit, you must maintain an ongoing paid Founders membership without interruption. This requirement includes, for example, that you keep your payment information current and make timely payments, and that you use the service in accordance with the terms of use. If for any reason your paid Founders membership ends, you make a membership plan modification, downgrade, or if there is a termination, the benefit is forfeited and cannot be restarted. This benefit is only available to NVIDIA GeForce NOW users who are billed by NVIDIA’s designated merchant of record in the US, Canada, UK, and members of the European Union. This benefit is not transferable, and cannot be replaced for cash or credit.","Yes, if you cancel your Founders account, you will lose the “Founders for Life” benefit.",RELEVANT,The generated answer matches the original answer’s core point: canceling the Founders account ends the paid membership and results in losing the Founders for Life benefit.,956,23,0.00262
2,Which locations support GeForce NOW through NVIDIA or Alliance partners?,"GeForce NOW is currently available from NVIDIA in North America, Europe, Japan, India and through GeForce NOW Alliance partners in other parts of the world. Visit the server status page for a list of available servers and their current status.","GeForce NOW is available from NVIDIA in North America, Europe, Japan, and India, and through GeForce NOW Alliance partners in other parts of the world.",RELEVANT,"The generated answer matches the original answer’s core information about where GeForce NOW is available through NVIDIA and Alliance partners. It omits the extra server status note, but that does not affect correctness for the question asked.",783,33,0.0022875
25,How does billing work when I upgrade persistent storage to more space?,You will only be charged a prorated amount for the remaining days in your current billing cycle.,You will only be charged a prorated amount for the remaining days in your current billing cycle.,RELEVANT,The generated answer exactly matches the original answer and directly answers the billing question.,868,20,0.00237
85,Does one GeForce NOW account work across multiple devices including Android phones?,"Yes, your single GeForce NOW account works across your many devices, now including Android phones.","Yes, your single GeForce NOW account works across your many devices, including Android phones.",RELEVANT,The generated answer matches the original answer in meaning and directly answers the question. It is consistent and complete enough.,666,19,0.001855
41,Where can I check device support for Ultimate membership features?,"You can read this knowledge base article for more details on which Ultimate features are supported on each device. All Ultimate members on any supported devices have first access to GeForce RTX 5080 gaming rigs, delivering the highest level of performance and lowest latency experience for most games. GeForce NOW Ultimate members also get the longest session lengths and fastest access to these servers.",You can read the knowledge base article for more details on which Ultimate features are supported on each device.,RELEVANT,"The generated answer directly answers where to check device support for Ultimate membership features by pointing to the knowledge base article, which matches the original answer.",637,21,0.0018025
73,Does GeForce NOW support voice chat with a microphone?,"Yes, GeForce NOW supports in-game mic. Now you can voice chat with your friends, or foes, in game during your epic battles. You can use Bluetooth and wired microphones with this feature. If you are using a Bluetooth gaming headset, please read this Knowledge Base article to optimize your gaming audio.","Yes, GeForce NOW supports in-game voice chat using a microphone. You can use both Bluetooth and wired microphones for this feature.",RELEVANT,"The generated answer correctly states that GeForce NOW supports voice chat with a microphone and mentions both Bluetooth and wired microphones, matching the original answer.",621,27,0.0018225
15,Why did GeForce NOW add a monthly playtime limit?,"We rolled out a 100-hour monthly playtime limit to continue providing exceptional quality and speed — as well as shorter queue times — for Performance and Ultimate members. If members reach the max playtime during a billing month, they can purchase additional premium playtime or continue playing as with a free user experience until playtime is reset on the next billing date.","The monthly playtime limit was introduced to continue providing exceptional quality and speed, as well as shorter queue times, for Performance and Ultimate members.",RELEVANT,"The generated answer matches the original explanation for why the limit was added: to maintain quality, speed, and shorter queue times for Performance and Ultimate members. It is slightly incomplete because it omits the 100-hour limit and what happens after reaching it, but it answers the question correctly.",858,29,0.002435
87,Why is GeForce NOW asking for my audio access on Android?,"This is Android's way of indicating that the GeForce NOW app wants access to your phone’s microphone. From here, it enables your in-game voice chat. We do not record this audio.",This is Android's way of indicating that the GeForce NOW app wants access to your phone’s microphone to enable in-game voice chat. GeForce NOW does not record this audio.,RELEVANT,The generated answer matches the original answer: it explains that the audio permission is actually microphone access for in-game voice chat and states that the audio is not recorded.,704,37,0.00213
87,Why does the app want access to my phone’s microphone?,"This is Android's way of indicating that the GeForce NOW app wants access to your phone’s microphone. From here, it enables your in-game voice chat. We do not record this audio.",This is Android's way of indicating that the GeForce NOW app wants access to your phone’s microphone to enable in-game voice chat. The app does not record this audio.,RELEVANT,The generated answer matches the original answer’s meaning: it says the microphone permission is for in-game voice chat and that the audio is not recorded. It is consistent and sufficiently complete.,730,36,0.002185
73,Does GeForce NOW have support for in-game mic chat?,"Yes, GeForce NOW supports in-game mic. Now you can voice chat with your friends, or foes, in game during your epic battles. You can use Bluetooth and wired microphones with this feature. If you are using a Bluetooth gaming headset, please read this Knowledge Base article to optimize your gaming audio.","Yes, GeForce NOW supports in-game mic chat. You can use Bluetooth and wired microphones for this feature.",RELEVANT,The generated answer correctly states that GeForce NOW supports in-game mic chat and matches the original answer’s key details about Bluetooth and wired microphones. It is slightly less detailed but consistent and sufficient.,893,23,0.0024625
43,Are gift cards valid for purchasing Ultimate membership on GeForce NOW?,"Gift card and promotion redemptions are temporarily unavailable for GeForce NOW premium members including Founders, Performance and Ultimate and will resume soon. Yes. Gift cards can be used to purchase either an Ultimate or Performance membership. Gift cards that were purchased for an RTX 3080 membership are valid for the same number of months for an Ultimate membership.","Yes, gift cards can be used to purchase an Ultimate membership on GeForce NOW, but gift card redemptions are temporarily unavailable for premium members and will resume soon. Gift cards originally purchased for an RTX 3080 membership are valid for the same number of months for an Ultimate membership.",RELEVANT,"The generated answer matches the original answer’s main points: gift cards can be used for Ultimate membership, redemptions are temporarily unavailable for premium members, and RTX 3080 gift cards transfer to Ultimate for the same number of months.",788,59,0.00256
16,When will my unlimited playtime switch to the new 100-hour monthly limit?,"If you are grandfathered into unlimited playtime from a subscription purchase prior to January 15, 2026, unlimited playtime will continue until the first billing date after January 15, 2026. At which point memberships come with 100 hours of playtime, with up to 15 hours of rollover, per month, and the ability to purchase additional hours.","If you are grandfathered into unlimited playtime from a subscription purchased prior to January 15, 2026, your unlimited playtime will switch to the 100-hour monthly limit on the first billing date after January 15, 2026.",RELEVANT,"The generated answer correctly states when the switch happens and matches the original answer’s core point. It is slightly incomplete because it omits the extra details about rollover hours and purchasing additional hours, but it answers the question.",862,51,0.002665
37,What happened to GeForce NOW Ultimate 6-month memberships?,"Ultimate 6-month memberships have been replaced by new 12-month memberships, giving users a full year of the highest-performance cloud gaming experience. If you’re currently on a 6-month Ultimate membership, you’ll continue to be billed on a biannual basis, as long as your account remains in good standing. Please note: if you upgrade or downgrade your membership, you will not be able to return to your current 6-month plan.","Ultimate 6-month memberships have been replaced by new 12-month memberships, giving users a full year of the highest-performance cloud gaming experience. If you’re currently on a 6-month Ultimate membership, you’ll continue to be billed on a biannual basis, as long as your account remains in good standing. Please note: if you upgrade or downgrade your membership, you will not be able to return to your current 6-month plan.",RELEVANT,The generated answer matches the original answer exactly and fully addresses what happened to GeForce NOW Ultimate 6-month memberships.,954,89,0.003275
85,Is GeForce NOW available on Android phones if I already use it on other devices?,"Yes, your single GeForce NOW account works across your many devices, now including Android phones.","Yes, your single GeForce NOW account works across your many devices, including Android phones.",RELEVANT,The generated answer matches the original meaning: GeForce NOW is available on Android phones and the same account works across devices.,654,19,0.001825
12,What are GeForce NOW premium memberships?,"Premium memberships refer to all GeForce NOW paid memberships, specifically monthly and 12-month Performance and Ultimate memberships. Offerings may vary by region. These plans provide members a streaming experience with higher resolutions and frame rates powered by NVIDIA technology including Ray Tracing, NVIDIA DLSS and Reflex, as well as faster access to streaming over free users. Premium members also gain access to exclusive features, including the ability to save in-game graphics settings across sessions, support for select in-game mods (like the top 25+ World of Warcraft Addons via CurseForge, as well as Creation Club mods for The Elder Scrolls V: Skyrim Special Edition, Starfield and Fallout 4). Premium members also have access to Install-to-Play, where they can install, download and play thousands of additional Steam games that have opted-in to Steam Cloud Gaming by the game publisher. Learn more about Install-to-Play, or visit the GeForce NOW games page to see which games are currently available.","Premium memberships refer to all GeForce NOW paid memberships, specifically monthly and 12-month Performance and Ultimate memberships. They offer a streaming experience with higher resolutions and frame rates, powered by NVIDIA technology, including Ray Tracing, NVIDIA DLSS, and Reflex. Premium members get faster access over free users and exclusive features like saving in-game graphics settings across sessions and support for select in-game mods. They also have access to Install-to-Play, allowing them to install, download, and play additional Steam games. Offerings may vary by region.",RELEVANT,"The generated answer matches the original answer’s core definition of GeForce NOW premium memberships and includes the main benefits and caveat about regional availability. It is slightly less specific about examples of supported mods and Steam Cloud Gaming, but remains correct and complete enough.",1002,109,0.003595
16,"What happens to my unlimited playtime if I bought my subscription before January 15, 2026?","If you are grandfathered into unlimited playtime from a subscription purchase prior to January 15, 2026, unlimited playtime will continue until the first billing date after January 15, 2026. At which point memberships come with 100 hours of playtime, with up to 15 hours of rollover, per month, and the ability to purchase additional hours.","If you bought your subscription before January 15, 2026, and are grandfathered into unlimited playtime, this will continue until the first billing date after January 15, 2026. After that, memberships will come with 100 hours of playtime per month, with up to 15 hours of rollover, and the option to purchase additional hours.",RELEVANT,"The generated answer matches the original answer’s meaning and key details: unlimited playtime continues until the first billing date after January 15, 2026, then changes to 100 hours per month with rollover and the option to buy more hours.",876,74,0.00293
16,"Do grandfathered GeForce NOW memberships still keep unlimited playtime after January 15, 2026?","If you are grandfathered into unlimited playtime from a subscription purchase prior to January 15, 2026, unlimited playtime will continue until the first billing date after January 15, 2026. At which point memberships come with 100 hours of playtime, with up to 15 hours of rollover, per month, and the ability to purchase additional hours.","No, grandfathered GeForce NOW memberships will not keep unlimited playtime after January 15, 2026. Instead, memberships will come with 100 hours of playtime per month, with up to 15 hours of rollover, and the option to purchase additional hours.",PARTLY_RELEVANT,"The generated answer is mostly consistent with the original answer about the new 100-hour monthly limit after January 15, 2026, but it misses the key nuance that grandfathered unlimited playtime continues until the first billing date after that date. Saying they will not keep unlimited playtime after January 15, 2026 is slightly imprecise.",865,56,0.0027225
31,How long can ads play before a game starts in GeForce NOW?,"No, ads will only appear before the start of a gaming session while a server is being located and ensures an uninterrupted experience once the game starts. Ads will only run for up to two minutes, regardless of queue time.",Each free session will have a maximum of two minutes of video ads before gameplay begins.,RELEVANT,"The generated answer correctly states that ads can run for up to two minutes before gameplay begins, which matches the original answer's key information.",670,18,0.001855
54,What are GeForce NOW Day Passes?,"Day Passes offer the full benefits of either Performance and Ultimate memberships for 24 consecutive hours. This includes ad-free gaming sessions, faster access to gaming servers, and access to the higher performance gaming rigs.","Day Passes offer the full benefits of either Performance and Ultimate memberships for 24 consecutive hours. This includes ad-free gaming sessions, faster access to gaming servers, and access to the higher performance gaming rigs.",RELEVANT,The generated answer matches the original answer exactly and correctly explains what GeForce NOW Day Passes are.,603,42,0.0019275
55,When does a Day Pass start and how long does it last?,"Day Passes start immediately upon checkout, and expire after 24 consecutive hours. New members, without a recurring subscription, will revert to a free account once the Day Pass expires. Members have 48 hours to apply the value of their last Day Pass purchased to a premium membership.",A Day Pass starts immediately upon checkout and expires after 24 consecutive hours.,RELEVANT,"The generated answer correctly states when the Day Pass starts and how long it lasts, matching the original answer. It omits extra details about what happens after expiration, but that was not asked.",754,16,0.002045
77,Does GeForce NOW support controllers?,"Yes, you can use the SHIELD controller to play games on GeForce NOW, and newer SHIELD models support third-party Bluetooth or USB-wired controllers. Please check our system requirements for a complete list of supported peripherals.","Yes, GeForce NOW supports controllers. You can use the SHIELD controller and, with newer SHIELD models, also third-party Bluetooth or USB-wired controllers.",RELEVANT,The generated answer directly answers that GeForce NOW supports controllers and matches the original answer’s details about SHIELD controllers and newer SHIELD models supporting third-party Bluetooth or USB-wired controllers. It is consistent and sufficiently complete.,613,34,0.0018725
21,How do I see what my GeForce NOW membership costs right now?,"You can view your membership from the app under Settings, under the GeForce NOW membership section. You can change your membership by clicking the manage button and then selecting membership plans on our website.","You can view your current GeForce NOW membership plan price from the app under Settings, in the GeForce NOW membership section. You can also manage your membership by clicking the manage button and selecting membership plans on the website.",RELEVANT,"The generated answer matches the original answer’s guidance: check the app under Settings in the GeForce NOW membership section, and use Manage to view/change plans on the website. It is consistent and sufficiently answers how to see the current membership cost.",775,45,0.0023875
26,"Are GeForce NOW gift card redemptions available for Founders, Performance, or Ultimate members right now?","Gift card and promotion redemptions are temporarily unavailable for GeForce NOW premium members including Founders, Performance and Ultimate and will resume soon. Yes, the membership gift card is additive. You will be asked to choose your preferred membership tier when you redeem. Once applied, the term will add on to the remaining duration of your promotional membership. After the completion of the membership gift card duration, you will resume your Performance membership for the duration of the promotional period. For additional information, please visit our GeForce NOW membership FAQs page.",I don't know.,NON_RELEVANT,"The generated answer does not answer the question and gives no information about whether redemptions are currently available for Founders, Performance, or Ultimate members. It is not consistent with the provided original answer.",737,5,0.0018925
63,Is there an option to add more persistent cloud storage for saved games and installs?,"The new Install-to-Play feature enables premium members to download and install over thousands of Steam games opted-in for Steam Cloud Gaming directly onto GeForce NOW cloud storage hard drives, similar to a local gaming PC experience. More will be added each week. 100GB of single session cloud storage will be included with both Ultimate and Performance memberships. Members who want persistent cloud storage to save all game installs and game saves across sessions (for games that don’t support Steam cloud saves) will have the flexibility to add-on additional cloud storage on top of their memberships. You can sign up for a premium membership here .","Yes, you can add more persistent cloud storage. Options available are 200GB for $2.99/month, 500GB for $4.99/month, or 1TB for $7.99/month.",PARTLY_RELEVANT,"The generated answer correctly says additional persistent cloud storage can be added, which matches the original answer. However, the specific storage tiers and prices are not supported by the original answer, so those details are unverifiable and make it only partly relevant.",997,45,0.0029425
65,Can you explain Install-to-Play vs Ready-to-Play in GeForce NOW?,"Install-to-Play games are titles you can install and play from your own Steam library, as long as the publisher has opted in to support Steam Cloud Gaming . You manage what you play, and can optionally purchase a storage plan to keep your installed games and saved data in the cloud for games that don’t support Steam cloud saves. More will be added as publishers opt-in their games for Steam Cloud Gaming. Ready-to-Play games are designed for instant access, and are highlighted each week on GFN Thursday. They are always kept updated, tested for a seamless experience, and NVIDIA manages all the backend work, ensuring the most popular games are readily available. You can jump right into playing them without any installation steps. Ready-to-Play games do not count against your 100 GB storage.","Install-to-Play games are titles you install and play from your own Steam library, as long as they're supported for Steam Cloud Gaming. You manage these games and can purchase storage to keep them and save data in the cloud if needed. Ready-to-Play games are instantly accessible, always updated, and managed by NVIDIA for a seamless experience. They don't require installation and don't count against your 100 GB storage.",RELEVANT,"The generated answer matches the original answer’s core distinctions: Install-to-Play requires installing from your Steam library with optional cloud storage, while Ready-to-Play is instant, managed by NVIDIA, and does not count against storage. It is slightly less detailed but still correct and complete enough.",914,83,0.003115
7,How do I get support for a game streaming issue?,You can work with a Customer Care agent here . Our product and support teams are ready to assist when they can. You can alert us to your issue by pressing the exclamation icon in-app.,You can work with a Customer Care agent by alerting them to your issue via the exclamation icon in-app.,RELEVANT,The generated answer matches the original response’s key instruction: contact Customer Care and report the issue using the in-app exclamation icon. It is slightly shorter but still answers the question correctly.,967,24,0.0026575
