id,title
1,Clair Obscur: Expedition 33
2,Silent Hill 2 (2001)
3,The Witcher 3: Wild Hunt - Blood and Wine
4,Metal Gear Solid 3: Snake Eater
5,Splatoon Raiders
6,Disney Cory in the House
7,Resident Evil Requiem
8,The Legend of Zelda: Majora's Mask
9,Warcraft III: The Frozen Throne
10,Heroes of Might and Magic III
11,Silent Hill 2: Restless Dreams
12,Gran Turismo 4
13,Metal Gear Solid
14,The Last of Us
15,The Last of Us Remastered
16,The Witcher 3: Wild Hunt - Hearts of Stone
17,Xenoblade Chronicles 2: Nintendo Switch 2 Edition
18,Warcraft III: Reign of Chaos
19,Starcraft: Brood War
20,Age of Empires II: The Conquerors Expansion
21,The Legend of Zelda: Ocarina of Time (1998)
22,Chrono Trigger
23,Planescape: Torment
24,Resident Evil 4 (2005)
25,Planescape: Torment
26,Chrono Trigger
27,The Legend of Zelda: Ocarina of Time (1998)
28,Gothic II: Gold Edition
29,Half-Life 2
30,Grand Theft Auto: San Andreas
31,Midnight Club 3: DUB Edition Remix
32,God of War II
33,Pokemon HeartGold Version
34,Persona 4 Golden
35,The Legend of Zelda: Ocarina of Time 3D
36,Baldur's Gate 3
37,Metal Gear Solid HD Collection
38,Bloodborne: The Old Hunters
39,The Witcher 3: Wild Hunt
40,Stellar Blade
41,Half-Life: Alyx
42,Ghost of Tsushima
43,Pikmin 2
44,Rome: Total War
45,Super Mario Galaxy
46,Phoenix Wright: Ace Attorney - Trials and Tribulations
47,Banjo-Kazooie
48,Crash Bandicoot: Warped
49,Xenogears
50,The Legend of Zelda: The Wind Waker
51,Age of Empires II: The Age of Kings
52,Banjo-Kazooie
53,Crash Bandicoot: Warped
54,System Shock 2
55,Diablo II: Lord of Destruction
56,Baldur's Gate II: Shadows of Amn
57,Silent Hill 2: Director's Cut
58,Deus Ex
59,Metal Gear Solid: The Legacy Collection
60,God of War
61,Red Dead Redemption 2
62,Hollow Knight
63,Astral Chain
64,Hollow Knight: Voidheart Edition
65,Omori
66,Final Fantasy XIV: Shadowbringers
67,Silent Hill 2
68,Fire Emblem: Awakening
69,Metroid Prime Trilogy
70,Bayonetta 2
71,Super Mario Galaxy 2
72,Kingdom Hearts II
73,Super Mario Galaxy
74,Rome: Total War
75,Paper Mario: The Thousand-Year Door (2004)
76,Pikmin 2
77,The Legend of Zelda: The Wind Waker HD
78,Phoenix Wright: Ace Attorney - Trials and Tribulations
79,God of War III
80,Pokemon Mystery Dungeon: Explorers of Sky
81,Half-Life 2: Episode Two
82,Resident Evil 4
83,Digimon Story Time Stranger
84,Astro Bot
85,Half-Life
86,CTR: Crash Team Racing
87,Final Fantasy VII
88,Final Fantasy IX
89,Max Payne
90,Might and Magic VII: For Blood and Honor
91,StarCraft
92,Silent Hill (1999)
93,Heroes of Might and Magic II: The Price of Loyalty
94,Metal Gear Solid 2: Sons of Liberty
95,Jagged Alliance 2
96,Final Fantasy X
97,Populous: The Beginning
98,Final Fantasy VII
99,Command & Conquer
100,Age of Mythology: The Titans
101,Warcraft II: Battle.net Edition
102,Fire Emblem
103,Super Smash Bros. Melee
104,Final Fantasy IX
105,Metal Gear Solid Integral
106,Might and Magic VII: For Blood and Honor
107,StarCraft
108,The Legend of Zelda: Ocarina of Time / Master Quest
109,Resident Evil (Remake)
110,Metal Gear Solid 2: Sons of Liberty
111,Freelancer
112,Half-Life
113,Final Fantasy X
114,Max Payne
115,Ace Combat 5: The Unsung War
116,Yoshi's Island: Super Mario Advance 3
117,Star Wars: Knights of the Old Republic
118,The Curse of Monkey Island
119,The Neverhood
120,Gothic II
121,Astro's Playroom
122,Ghost of Tsushima: Legends
123,Final Fantasy XIV: Endwalker
124,Ori and the Will of the Wisps
125,Resident Evil 2
126,Factorio
127,Super Mario Odyssey
128,Astro Bot Rescue Mission
129,Fire Emblem: Three Houses
130,Outer Wilds
131,The Witcher 3: Wild Hunt - Complete Edition
132,Hollow Knight: Silksong
133,Cyberpunk 2077: Phantom Liberty
134,Pikmin 4
135,drowning (Rapture)
136,Calculator
137,Outer Wilds: Echoes of the Eye
138,God of War Collection
139,Bloodborne
140,Persona 5
141,The Legend of Zelda: Majora's Mask 3D
142,Killzone: Mercenary
143,Yo-kai Watch 2: Psychic Specters
144,Red Dead Redemption
145,Factorio
146,OneShot
147,Bloodborne
148,Phoenix Wright: Ace Attorney
149,Devil May Cry 3: Dante's Awakening
150,Astro Bot Rescue Mission
151,Hollow Knight: Silksong
152,Jak and Daxter Collection
153,Pokemon Platinum Version
154,Uncharted 2: Among Thieves
155,Mass Effect 2
156,Final Fantasy XIV: Endwalker
157,Ghost of Tsushima: Legends
158,Xenoblade Chronicles: Definitive Edition
159,Calculator
160,Outer Wilds: Echoes of the Eye
161,Super Mario Bros. Wonder
162,Resident Evil 4: Separate Ways
163,DELTARUNE
164,Donkey Kong Bananza
165,Outer Wilds
166,Cyberpunk 2077: Phantom Liberty
167,The Witcher 3: Wild Hunt - Complete Edition
168,Pikmin 4
169,Jak and Daxter Collection
170,Resident Evil 4: Separate Ways
171,Outer Wilds: Archaeologist Edition
172,Final Fantasy VII Remake Intergrade
173,DELTARUNE
174,Donkey Kong Bananza
175,Metroid Prime 2: Echoes
176,Space Rangers 2: Reboot
177,The Legend of Zelda: The Minish Cap
178,Knights of Honor
179,Burnout Revenge
180,The Orange Box
181,The Lord of the Rings: The Battle for Middle-Earth (2004)
182,Pokemon Emerald Version
183,WWE SmackDown! Here Comes the Pain
184,Portal
185,God of War (2005)
186,RollerCoaster Tycoon 2: Triple Thrill Pack
187,Ape Escape 3
188,Kirby's Return to Dream Land
189,Batman: Arkham City
190,Mount & Blade: Warband
191,"Nine Hours, Nine Persons, Nine Doors"
192,Portal: Still Alive
193,Dragon Ball Z: Budokai Tenkaichi 3
194,Mario & Luigi: Bowser's Inside Story
195,Heroes of Might and Magic II: The Succession Wars
196,Heart of Darkness
197,Paper Mario
198,Diablo II
199,Conker's Bad Fur Day
200,Dungeon Keeper 2
201,Age of Wonders
202,Age of Mythology
203,Metroid Fusion
204,Might and Magic VI: The Mandate of Heaven
205,Master of Orion II: Battle at Antares
206,Vagrant Story
207,Dungeon Keeper
208,Tekken 3
209,F-Zero GX
210,Resident Evil 2 (1998)
211,Homeworld: Cataclysm
212,Baldur's Gate
213,Worms Armageddon
214,Outcast
215,Thief II: The Metal Age
216,Castlevania: Symphony of the Night
217,Myth II: Soulblighter
218,Super Mario World: Super Mario Advance 2
219,GoldenEye 007
220,The Legend of Zelda: A Link to the Past / Four Swords
221,Gran Turismo 2
222,Blood (1997)
223,Beyond Good & Evil
224,Original War
225,Disciples II: Dark Prophecy
226,Unreal
227,Golden Sun: The Lost Age
228,Valkyrie Profile 2: Silmeria
229,Harvest Moon: Back to Nature
230,Shin Megami Tensei: Nocturne
231,Golden Sun
232,Age of Empires II: Gold Edition
233,Command & Conquer: Red Alert 2
234,Stronghold
235,The Ultimate DOOM
236,Max Payne 2: The Fall of Max Payne
237,Stronghold: Crusader
238,Quake II
239,Jak and Daxter: The Precursor Legacy
240,Space Rangers
241,Firewall Zero Hour
242,Darkarta: A Broken Heart's Quest
243,Final Fantasy VII Rebirth
244,The Great Ace Attorney Chronicles
245,Kirby and the Forgotten Land
246,Hi-Fi Rush
247,Pizza Tower
248,Metroid Prime Remastered
249,Super Smash Bros. for Nintendo 3DS / Wii U
250,To the Moon
251,Red Dead Redemption: Game of the Year Edition
252,God of War: Origins Collection
253,Pikmin 3
254,P.T.
255,Yakuza 0
256,Sonic 3 & Knuckles
257,Super Mario 3D World
258,The Wolf Among Us: Episode 1 - Faith
259,Danganronpa 2: Goodbye Despair
260,RimWorld
261,Muv-Luv Alternative
262,Therian Saga
263,Portal: Still Alive
264,Batman: Arkham City
265,Space Rangers
266,Metroid Prime 2: Echoes
267,Space Rangers 2: Reboot
268,Ratchet & Clank: Going Commando
269,Knights of Honor
270,God Hand
271,Space Rangers 2: Rise of the Dominators
272,Sly 3: Honor Among Thieves
273,Bully
274,The World Ends with You
275,Vampire: The Masquerade - Bloodlines
276,WWE SmackDown! Here Comes the Pain
277,The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King
278,NieR: Automata - Game of the YoRHa Edition
279,Persona 5 Royal
280,NieR: Automata - Become as Gods Edition
281,Satisfactory
282,Muv-Luv Alternative
283,RimWorld
284,Therian Saga
285,Kirby and the Forgotten Land
286,Shin Megami Tensei: Persona 3 FES
287,Ratchet & Clank Future: A Crack in Time
288,Dragon Ball Z: Budokai Tenkaichi 3
289,It Takes Two
290,Enderal: Forgotten Stories
291,Hi-Fi Rush
292,Pizza Tower
293,Anomaly Agent
294,Phoenotopia: Awakening
295,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated
296,The Legend of Zelda: Tears of the Kingdom
297,Xenoblade Chronicles 3
298,Metroid Dread
299,Theatrhythm Final Bar Line
300,Final Fantasy VII Rebirth
